,Date,Type,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
86,2022-04-23,Empty Lot,7.0,0.0,61.0,55.0
87,2022-04-23,Mixed-Use,2.0,0.0,3.0,4.0
88,2022-04-23,Multi-Unit,1.0,0.0,25.0,41.0
89,2022-04-23,Single-Family,14.0,1.0,116.0,121.0
90,2022-06-05,Commercial,3.0,0.0,11.0,3.0
91,2022-06-05,Duplex,8.0,0.0,77.0,104.0
92,2022-06-05,Empty Lot,7.0,0.0,63.0,56.0
93,2022-06-05,Mixed-Use,2.0,0.0,3.0,4.0
94,2022-06-05,Multi-Unit,1.0,0.0,22.0,46.0
95,2022-06-05,Single-Family,15.0,1.0,109.0,130.0
96,2022-06-23,Commercial,3.0,0.0,11.0,3.0
97,2022-06-23,Duplex,9.0,0.0,75.0,103.0
98,2022-06-23,Empty Lot,8.0,0.0,64.0,56.0
99,2022-06-23,Mixed-Use,1.0,0.0,3.0,4.0
100,2022-06-23,Multi-Unit,0.0,0.0,22.0,46.0
101,2022-06-23,Single-Family,14.0,1.0,111.0,132.0
102,2022-07-17,Commercial,4.0,0.0,11.0,3.0
103,2022-07-17,Duplex,9.0,0.0,77.0,101.0
104,2022-07-17,Empty Lot,8.0,0.0,62.0,56.0
105,2022-07-17,Mixed-Use,1.0,0.0,3.0,4.0
106,2022-07-17,Multi-Unit,0.0,0.0,22.0,45.0
107,2022-07-17,Single-Family,15.0,1.0,114.0,131.0
108,2022-08-11,Commercial,3.0,0.0,11.0,3.0
109,2022-08-11,Duplex,10.0,0.0,77.0,99.0
110,2022-08-11,Empty Lot,6.0,1.0,69.0,58.0
111,2022-08-11,Mixed-Use,1.0,0.0,3.0,4.0
112,2022-08-11,Multi-Unit,1.0,0.0,22.0,46.0
113,2022-08-11,Single-Family,13.0,1.0,111.0,129.0
114,2022-09-13,Commercial,3.0,0.0,11.0,3.0
115,2022-09-13,Duplex,11.0,0.0,56.0,99.0
116,2022-09-13,Empty Lot,5.0,1.0,71.0,59.0
117,2022-09-13,Mixed-Use,1.0,0.0,3.0,4.0
118,2022-09-13,Multi-Unit,1.0,0.0,19.0,46.0
119,2022-09-13,Single-Family,13.0,3.0,76.0,129.0
120,2022-10-18,Commercial,2.0,1.0,9.0,3.0
121,2022-10-18,Duplex,12.0,0.0,50.0,100.0
122,2022-10-18,Empty Lot,5.0,1.0,72.0,59.0
123,2022-10-18,Mixed-Use,1.0,0.0,3.0,4.0
124,2022-10-18,Multi-Unit,1.0,0.0,20.0,43.0
125,2022-10-18,Single-Family,15.0,3.0,73.0,125.0
126,2022-11-17,Commercial,2.0,1.0,9.0,3.0
127,2022-11-17,Duplex,13.0,0.0,50.0,99.0
128,2022-11-17,Empty Lot,5.0,1.0,72.0,58.0
129,2022-11-17,Mixed-Use,1.0,0.0,3.0,4.0
130,2022-11-17,Multi-Unit,1.0,0.0,21.0,43.0
131,2022-11-17,Single-Family,14.0,4.0,72.0,125.0
132,2022-12-26,Commercial,2.0,1.0,9.0,3.0
133,2022-12-26,Duplex,13.0,0.0,50.0,99.0
134,2022-12-26,Empty Lot,5.0,1.0,79.0,59.0
135,2022-12-26,Mixed-Use,1.0,0.0,3.0,4.0
136,2022-12-26,Multi-Unit,0.0,0.0,20.0,42.0
137,2022-12-26,Single-Family,15.0,2.0,77.0,121.0
138,2023-03-28,Commercial,3.0,1.0,9.0,3.0
139,2023-03-28,Duplex,11.0,2.0,34.0,88.0
140,2023-03-28,Empty Lot,7.0,2.0,77.0,53.0
141,2023-03-28,Mixed-Use,1.0,0.0,3.0,4.0
142,2023-03-28,Multi-Unit,1.0,2.0,16.0,42.0
143,2023-03-28,Single-Family,23.0,2.0,56.0,117.0
144,2023-04-22,Commercial,3.0,1.0,9.0,3.0
145,2023-04-22,Duplex,10.0,2.0,34.0,88.0
146,2023-04-22,Empty Lot,7.0,2.0,77.0,53.0
147,2023-04-22,Mixed-Use,1.0,0.0,3.0,4.0
148,2023-04-22,Multi-Unit,1.0,2.0,16.0,42.0
149,2023-04-22,Single-Family,24.0,2.0,54.0,117.0
150,2023-05-02,Commercial,2.0,1.0,9.0,3.0
151,2023-05-02,Duplex,9.0,0.0,48.0,94.0
152,2023-05-02,Empty Lot,6.0,2.0,78.0,57.0
153,2023-05-02,Mixed-Use,1.0,0.0,3.0,4.0
154,2023-05-02,Multi-Unit,0.0,1.0,18.0,43.0
155,2023-05-02,Single-Family,19.0,1.0,77.0,122.0
156,2023-11-01,Commercial,3.0,2.0,8.0,3.0
157,2023-11-01,Duplex,12.0,4.0,37.0,89.0
158,2023-11-01,Empty Lot,7.0,1.0,80.0,51.0
159,2023-11-01,Mixed-Use,3.0,0.0,4.0,4.0
160,2023-11-01,Multi-Unit,3.0,2.0,20.0,41.0
161,2023-11-01,Single-Family,22.0,5.0,72.0,112.0
